name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Blue,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC7A4B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FC7A4B,2025-07-30 09:37:57
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Silver,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW0X3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW0X3B,2025-07-30 09:37:58
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW103B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW103B,2025-07-30 09:37:59
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Midnight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW133B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW133B,2025-07-30 09:38:00
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Silver,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1G3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW1G3B,2025-07-30 09:38:01
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1J3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW1J3B,2025-07-30 09:38:02
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Midnight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1L3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW1L3B,2025-07-30 09:38:03
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,32GB,512GB,,,,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CF2B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1CF2B,2025-07-30 09:38:04
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,24GB,1TB,,,,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CG1B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1CG1B,2025-07-30 09:38:05
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,M2,8-Core CPU,10-Core GPU,16GB,1TB,13-inch,Starlight,,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G15Z3B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-starlight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G15Z3B,2025-07-30 09:38:06
