name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,M3,8-Core CPU,10-Core GPU,16GB,512GB,15-inch,Starlight,1099.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BU2B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1BU2B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M3,8-Core CPU,10-Core GPU,16GB,512GB,15-inch,Midnight,1099.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BW2B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Midnight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1BW2B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,24GB,256GB,13-inch,Silver,1099.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1CT1B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1CT1B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,24GB,256GB,13-inch,Blue,1099.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1H71B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1H71B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,24GB,512GB,13-inch,Silver,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC654B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FC654B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,24GB,512GB,13-inch,Starlight,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6A4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FC6A4B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,24GB,512GB,13-inch,Blue,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6V4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FC6V4B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,512GB,15-inch,Blue,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC7C4B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FC7C4B,2025-08-27 18:11:40
"Refurbished Mac mini Apple M4 Pro Chip with 12-Core CPU and 16-Core GPU, Gigabit Ethernet",M4 Pro,12-Core CPU,16-Core GPU,24GB,512GB,,,1189.0,1399.0,210.0,15.01,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FCX44B/A/Refurbished-Mac-mini-Apple-M4-Pro-Chip-with-12-Core-CPU-and-16-Core-GPU-Gigabit-Ethernet-?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FCX44B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,16GB,512GB,15-inch,Starlight,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1K3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FW1K3B,2025-08-27 18:11:40
