name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,24GB,1TB,,,1019.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CG1B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1CG1B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M2,8-Core CPU,10-Core GPU,16GB,1TB,13-inch,Midnight,1049.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1613B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-midnight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1613B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Silver,M3,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Silver,1059.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1952B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1952B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Yellow,M3,8-Core CPU,10-Core GPU,8GB,256GB,24-inch,Yellow,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRL3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Yellow?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRL3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Green,M3,8-Core CPU,10-Core GPU,8GB,256GB,24-inch,Green,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRN3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Green?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRN3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Blue,M3,8-Core CPU,10-Core GPU,8GB,256GB,24-inch,Blue,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRQ3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Blue?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRQ3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Pink,M3,8-Core CPU,10-Core GPU,8GB,256GB,24-inch,Pink,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRT3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Pink?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRT3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Purple,M3,8-Core CPU,10-Core GPU,8GB,256GB,24-inch,Purple,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRV3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Purple?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRV3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Orange,M3,8-Core CPU,10-Core GPU,8GB,256GB,24-inch,Orange,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRX3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Orange?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRX3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Silver,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Silver,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUC3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FWUC3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Green,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Green,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUE3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Green?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FWUE3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Pink,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Pink,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUG3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Pink?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FWUG3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M4 Chip with 8-Core CPU and 8-Core GPU – Purple,M4,8-Core CPU,8-Core GPU,16GB,256GB,24-inch,Purple,1099.0,1299.0,200.0,15.4,Wi-Fi,https://www.apple.com/uk/shop/product/FWUH3B/A/Refurbished-24-inch-iMac-Apple-M4-Chip-with-8-Core-CPU-and-8-Core-GPU-Purple?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FWUH3B,2025-07-31 10:06:11
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M3,8-Core CPU,10-Core GPU,16GB,512GB,15-inch,Midnight,1099.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BW2B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Midnight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1BW2B,2025-07-31 10:06:11
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Yellow",M1,8-Core CPU,8-Core GPU,8GB,512GB,24-inch,Yellow,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPG3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FGPG3B,2025-07-31 10:06:11
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Green",M1,8-Core CPU,8-Core GPU,8GB,512GB,24-inch,Green,1179.0,1749.0,570.0,32.59,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPJ3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FGPJ3B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,24GB,512GB,13-inch,Silver,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC654B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FC654B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,24GB,512GB,13-inch,Starlight,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6A4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FC6A4B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,M4,10-Core CPU,10-Core GPU,24GB,512GB,13-inch,Midnight,1189.0,1399.0,210.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6C4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FC6C4B,2025-07-31 10:06:11
