name,chip,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at,product_info
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,16GB,,13-inch,Silver,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW0X3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FW0X3B,2025-07-29 16:59:53,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,16GB,,13-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW103B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FW103B,2025-07-29 16:59:53,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,M4,16GB,,13-inch,Midnight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW133B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FW133B,2025-07-29 16:59:53,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,16GB,,15-inch,Silver,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1G3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FW1G3B,2025-07-29 16:59:53,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,16GB,,15-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1J3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FW1J3B,2025-07-29 16:59:53,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,M4,16GB,,15-inch,Midnight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1L3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FW1L3B,2025-07-29 16:59:53,
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,32GB,,,,509.0,599.0,90.0,15.03,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CF2B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1CF2B,2025-07-29 16:59:53,
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,24GB,,,,509.0,599.0,90.0,15.03,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CG1B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1CG1B,2025-07-29 16:59:53,
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,M2,16GB,,13-inch,Starlight,509.0,599.0,90.0,15.03,Wi-Fi,https://www.apple.com/uk/shop/product/G15Z3B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-starlight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G15Z3B,2025-07-29 16:59:53,
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M2,16GB,,13-inch,Midnight,509.0,599.0,90.0,15.03,Wi-Fi,https://www.apple.com/uk/shop/product/G1613B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-midnight?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1613B,2025-07-29 16:59:53,
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Silver,M3,16GB,,24-inch,Silver,509.0,599.0,90.0,15.03,Wi-Fi,https://www.apple.com/uk/shop/product/G1952B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Silver?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,G1952B,2025-07-29 16:59:53,
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Yellow,M3,8GB,,24-inch,Yellow,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRL3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Yellow?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FQRL3B,2025-07-29 16:59:53,
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 10-Core GPU - Green,M3,8GB,,24-inch,Green,1099.0,1399.0,300.0,21.44,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FQRN3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Green?fnode=262633d5e956efcc14a3022014a50e9af18f1b292040a61985d7e87d86fe94915e50769d833663c8f68bc7a75f73cf358cd95270d6f552d1ea4cb4c5a1a4fd409333f54d11e82a68a0f06b6558752e06,FQRN3B,2025-07-29 16:59:53,
